City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Jacareacanga,BR,76.69,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
236,Kirakira,SB,79.66,scattered clouds,-10.4544,161.9205,SanBiz Lodge
246,Isangel,VU,77.49,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
248,Bayji,IQ,81.9,clear sky,34.9311,43.486999999999995,قريه جديده
254,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
258,Dera Bugti,PK,83.48,overcast clouds,29.0307,69.15100000000001,Nawab Bugti House
261,Neuquen,AR,77.0,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
264,Soyo,AO,81.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
267,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
269,Ituporanga,BR,78.01,broken clouds,-27.4144,-49.6025,Hotel Jacaré
270,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
272,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
274,Maragogi,BR,78.13,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
278,Dingle,PH,77.58,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
279,Paita,PE,78.8,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
284,Cozumel,MX,87.8,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
285,Kodinar,IN,80.56,clear sky,20.7903,70.7031,Gayatri Auto advisor
292,Mana,GF,82.47,overcast clouds,5.6592,-53.7767,LE SAMANA
296,Indramayu,ID,78.8,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
297,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
299,San Vicente,AR,79.88,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
303,San Jose,US,77.0,clear sky,37.3394,-121.895,The Westin San Jose
306,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
310,Awbari,LY,79.99,overcast clouds,26.5921,12.7805,فندق أوباري
312,Belmonte,BR,82.4,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
318,Merauke,ID,76.06,light rain,-8.4667,140.3333,
319,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
320,Itapecerica,BR,78.37,broken clouds,-20.4725,-45.1256,Paraíso da Zé
321,Namatanai,PG,80.42,overcast clouds,-3.6667,152.4333,Namatanai Hotel
323,Fayaoue,NC,77.86,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
324,Carmen,MX,87.8,scattered clouds,18.6333,-91.8333,Hotel Lossandes
325,Daru,PG,76.5,overcast clouds,-9.0763,143.2092,Daru Lodge
326,Wamba,NG,85.1,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
327,Adalaj,IN,82.4,smoke,23.1667,72.5833,Belvedere Golf & Country Club
329,General Roca,AR,77.0,scattered clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
330,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
334,Camalu,MX,81.0,clear sky,30.85,-116.0667,La Cueva del Pirata
335,Sao Joao Do Piaui,BR,86.36,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
337,Pemangkat,ID,77.97,overcast clouds,1.1667,108.9667,Ramah Kost KITA
342,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
344,Marsh Harbour,BS,80.31,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
347,Nizwa,OM,83.01,overcast clouds,22.9333,57.5333,Orient Apartments
348,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
349,Karratha,AU,79.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
354,Pedernales,DO,89.49,scattered clouds,18.0384,-71.744,Hotel Costa Marina
362,Puerto Leguizamo,CO,88.2,broken clouds,-0.1934,-74.7819,la casona de juancho
363,Oranjestad,AW,87.8,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
364,Khanu Woralaksaburi,TH,78.64,light rain,16.0617,99.8606,River Green Resort
369,Lorengau,PG,80.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
372,Lompoc,US,75.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
375,Itaituba,BR,77.0,few clouds,-4.2761,-55.9836,Hotel Campos
377,Quelimane,MZ,75.2,few clouds,-17.8786,36.8883,Hotel Flamingo
381,Sassandra,CI,80.47,overcast clouds,4.95,-6.0833,la terrasse
386,Mundo Nuevo,MX,75.61,overcast clouds,18.7,-95.5,
387,Kampong Chhnang,KH,78.58,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
388,Macenta,GN,80.2,broken clouds,8.5435,-9.471,Hôtel Yansané
389,Sur,OM,82.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
393,Honiara,SB,77.5,overcast clouds,-9.4333,159.95,Heritage Park Hotel
395,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
400,Paso De Carrasco,UY,77.0,scattered clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
404,Kharan,PK,80.96,broken clouds,28.5833,65.4167,Dil Aram Bangla
407,Niquelandia,BR,81.18,broken clouds,-14.4739,-48.4597,Hotel Suinã
411,Acarau,BR,81.91,overcast clouds,-2.8856,-40.12,castelo pizzaria
412,Tutoia,BR,87.8,broken clouds,-2.7619,-42.2744,Pousada Guará's
413,Cockburn Town,TC,82.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
414,Nushki,PK,76.23,overcast clouds,29.5542,66.0215,Jahangir Hotel Noshki
417,Kpandae,GH,83.12,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
423,Butterworth,MY,82.99,few clouds,5.3991,100.3638,Cititel Penang
427,Saint-Joseph,RE,75.2,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
429,Bundi,IN,85.82,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
433,Axim,GH,81.82,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
436,Ugoofaaru,MV,84.52,overcast clouds,5.6667,73.0,Ungoofaaru Inn
437,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
440,Ambilobe,MG,75.0,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
441,Tiarei,PF,82.4,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
444,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
448,Carutapera,BR,79.59,moderate rain,-1.195,-46.02,Lidera
449,Mogadishu,SO,83.53,broken clouds,2.0371,45.3438,Hotel Juba
457,Maroantsetra,MG,75.25,moderate rain,-15.4333,49.7333,Annexe Vatsy Hôtel
458,Mont-Dore,NC,75.99,broken clouds,-22.2833,166.5833,GIte
461,Gamba,GA,78.24,light rain,-2.65,10.0,
470,Cavalcante,BR,79.45,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
484,Kerema,PG,75.99,overcast clouds,-7.9631,145.7785,Frena Lodge
489,Bawku,GH,79.56,moderate rain,11.0616,-0.2417,Ultimate Guest House
491,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
493,Kavaratti,IN,84.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
497,Rawson,AR,75.51,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
502,Iralaya,HN,89.6,broken clouds,15.0,-83.2333,Iglesia morava renovada
514,Khiri Mat,TH,81.0,few clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
516,Lagos,NG,77.0,few clouds,6.5833,3.75,
519,Buala,SB,79.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
521,Luganville,VU,79.29,broken clouds,-15.5333,167.1667,The Espiritu Hotel
523,Muli,MV,83.57,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
527,Bolobo,CD,75.94,overcast clouds,-2.1667,16.2333,Hotel de Stephen
530,Rio Grande,BR,77.0,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
