City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
562,Marawi,7.9986,124.2928,73.99,87,94,4.0,PH,overcast clouds,2021-04-18 18:45:25
563,Manhattan,40.7834,-73.9662,62.6,39,90,4.61,US,overcast clouds,2021-04-18 18:42:29
564,Myaundzha,63.0494,147.1858,13.78,95,100,2.3,RU,overcast clouds,2021-04-18 18:45:25
565,Miles City,46.4083,-105.8406,53.6,37,1,13.8,US,clear sky,2021-04-18 18:45:26
566,Port Blair,11.6667,92.75,81.18,76,58,7.72,IN,broken clouds,2021-04-18 18:45:26
567,Sorsk,54.0033,90.2467,33.57,81,100,11.74,RU,overcast clouds,2021-04-18 18:45:26
568,Kadyy,57.787,43.1903,40.01,78,100,9.62,RU,overcast clouds,2021-04-18 18:45:27
569,Gambela,8.25,34.5833,84.83,38,73,1.92,ET,broken clouds,2021-04-18 18:45:27
570,Chimbote,-9.0853,-78.5783,72.95,73,24,10.98,PE,few clouds,2021-04-18 18:45:28
571,Mala Tokmachka,47.5356,35.8929,51.8,46,0,7.02,UA,clear sky,2021-04-18 18:45:28
572,Ilulissat,69.2167,-51.1,14.0,41,71,2.3,GL,broken clouds,2021-04-18 18:45:28
573,Ketchikan,55.3422,-131.6461,51.8,62,1,11.5,US,clear sky,2021-04-18 18:45:11
574,La Maddalena,41.2142,9.4083,50.0,81,75,6.91,IT,broken clouds,2021-04-18 18:45:29
575,Koungheul,13.9833,-14.8,101.46,10,14,4.81,SN,few clouds,2021-04-18 18:45:29
576,Fort Abbas,29.1925,72.8536,83.86,18,34,6.53,PK,scattered clouds,2021-04-18 18:45:29
577,Viedma,-40.8135,-62.9967,75.47,58,18,18.9,AR,few clouds,2021-04-18 18:45:30
578,Bud,39.447,-86.1758,61.0,31,1,5.75,US,clear sky,2021-04-18 18:45:30
579,Mardin,37.3131,40.7436,77.0,31,0,9.22,TR,clear sky,2021-04-18 18:45:30
